Timestamp	soundtime	trialvec	LeftPupil	RightPupil
1374603152949364			4.092498779	4.131515503
1374603152966005			4.077407837	4.136962891
1374603152982614			4.089065552	4.119873047
1374603152999238			4.08013916	4.118301392
1374603153015862			4.087097168	4.111373901
1374603153032612			4.085235596	4.100830078
1374603153049237			4.074371338	4.099273682
1374603153065861			4.083068848	4.104827881
1374603153082485			4.073242188	4.093414307
1374603153099236			4.071014404	4.086196899
1374603153115857			4.080856323	4.084945679
1374603153132482			4.066436768	4.065872192
1374603153149106			4.058563232	4.078186035
1374603153165856			4.052703857	4.058731079
1374603153182480			4.055053711	4.065414429
1374603153199105			4.059936523	4.056808472
1374603153215729			4.031158447	4.059509277
1374603153232354			4.033294678	4.066680908
1374603153249104			4.028594971	4.06137085
1374603153265734			4.019607544	4.062683105
1374603153282352			4.025894165	4.056564331
1374603153298983			4.025268555	4.048873901
1374603153315723			4.023880005	4.065460205
1374603153332349			4.024734497	4.073730469
1374603153348973			4.009368896	4.075714111
1374603153365597			4.020828247	4.092086792
1374603153382348			4.01121521	4.089309692
1374603153398981			4.028945923	4.088912964
1374603153415596			4.031677246	4.089141846
1374603153432221			4.037521362	4.083068848
1374603153448845			4.032714844	4.101470947
1374603153465600			4.041687012	4.09703064
1374603153482216			4.032409668	4.106140137
1374603153498842			4.037307739	4.10786438
1374603153515466			4.030990601	4.110580444
1374603153532215			4.052993774	4.118469238
1374603153548840			3.78427124	3.965805054
1374603153565464			-1	-1
1374603153582090			-1	-1
1374603153598714			-1	-1
1374603153615463			-1	-1
1374603153632088			-1	-1
1374603153648711			-1	-1
1374603153665377			-1	-1
1374603153682043			-1	-1
1374603153698709			-1	-1
1374603153715333			3.912765503	3.892379761
1374603153731957			4.029434204	4.004241943
1374603153748706			4.125259399	4.087921143
1374603153765332			4.129394531	4.154998779
1374603153781957			4.133956909	4.155929565
1374603153798580			4.12878418	4.17364502
1374603153815205			4.153823853	4.170150757
1374603153831954			4.156967163	4.186553955
1374603153848576			4.138061523	4.187866211
1374603153865201			4.141860962	4.188796997
1374603153881827			4.151138306	4.192367554
1374603153898577			4.146957397	4.195114136
1374603153915199			4.158813477	4.203567505
1374603153931823			4.170135498	4.202819824
1374603153948452			4.16897583	4.20866394
1374603153965198			4.167236328	4.211532593
1374603153981822			4.179977417	4.211761475
1374603153998447			4.178726196	4.219650269
1374603154015071			4.180358887	4.226837158
1374603154031694			4.186538696	4.227783203
1374603154048445			4.198120117	4.239837646
1374603154065068			4.206115723	4.246871948
1374603154081692			4.21484375	4.253982544
1374603154098316			4.216903687	4.247802734
1374603154115067			4.223464966	4.273727417
1374603154131692			4.216018677	4.268737793
1374603154148316			4.227264404	4.271789551
1374603154164940			4.236694336	4.279144287
1374603154181566			4.230270386	4.280639648
1374603154198314			4.231933594	4.287734985
1374603154214936			4.214447021	4.295715332
1374603154231561			4.211181641	4.287445068
1374603154248185			4.20880127	4.280136108
1374603154264934			4.20803833	4.269454956
1374603154281559			4.199462891	4.264343262
1374603154298184			4.192947388	4.266998291
1374603154314813			4.207321167	4.262832642
1374603154331558			4.184387207	4.241729736
1374603154348182			4.192871094	4.238845825
1374603154364806			4.18572998	4.238510132
1374603154381439			4.183120728	4.224487305
1374603154398053			4.181610107	4.221084595
1374603154414804			4.18371582	4.220794678
1374603154431427			4.177902222	4.220916748
1374603154448052			4.182388306	4.212127686
1374603154464676			4.176879883	4.209243774
1374603154481434			4.165863037	4.219360352
1374603154498051			4.17376709	4.201675415
1374603154514675			4.175292969	4.199768066
1374603154531299			4.182327271	4.190933228
1374603154547924			4.17767334	4.195663452
1374603154564673			4.178070068	4.172073364
1374603154581296			4.176864624	4.170944214
1374603154597920			4.178207397	4.164855957
1374603154614551			4.163284302	4.163223267
1374603154631294			4.15284729	4.152618408
1374603154647918			4.14289856	4.150604248
1374603154664548			4.139205933	4.148544312
1374603154681168			4.153793335	4.142028809
1374603154697917			4.125869751	4.140441895
1374603154714543			4.136611938	4.143447876
1374603154731166			4.122039795	4.138870239
1374603154747800			4.123748779	4.149703979
1374603154764413			4.10697937	4.147064209
1374603154781162			4.111328125	4.15637207
1374603154797787			4.109527588	4.142227173
1374603154814411			4.095428467	4.142227173
1374603154831035			4.107498169	4.141662598
1374603154847792			4.107131958	4.155258179
1374603154864411			4.102111816	4.155792236
1374603154881034			4.113708496	4.156646729
1374603154897659			4.113754272	4.148910522
1374603154914411			4.110443115	4.165252686
1374603154931032			4.113967896	4.173156738
1374603154947655			4.132400513	4.181808472
1374603154964280			4.102767944	4.177703857
1374603154980904			4.103408813	4.176544189
1374603154997654			4.122421265	4.172744751
1374603155014278			4.115081787	4.191345215
1374603155030903			4.128875732	4.189193726
1374603155047527			4.138305664	4.189834595
1374603155064277			4.140304565	4.186798096
1374603155080901			4.136459351	4.187164307
1374603155097525			4.14704895	4.185653687
1374603155114151			4.146072388	4.193878174
1374603155130774			4.149688721	4.187332153
1374603155147522			4.149810791	4.180603027
1374603155164146			4.145401001	4.181396484
1374603155180784			4.15032959	4.186096191
1374603155197396			4.154800415	4.188980103
1374603155214145			4.158111572	4.186706543
1374603155230770			4.169372559	4.187423706
1374603155247394			4.157699585	4.192840576
1374603155264018			4.168563843	4.203659058
1374603155280643			4.169418335	4.199752808
1374603155297393			4.181106567	4.201843262
1374603155314015			4.174179077	4.198120117
1374603155330639			4.179992676	4.207000732
1374603155347264			4.170196533	4.204162598
1374603155364013			4.164932251	4.209579468
1374603155380637			4.175720215	4.199325562
1374603155397263			4.169143677	4.206970215
1374603155413887			4.177368164	4.195846558
1374603155430636			4.184509277	4.195220947
1374603155447261			4.186538696	4.208435059
1374603155463885			4.176422119	4.212402344
1374603155480510			4.185501099	4.209533691
1374603155497132			4.182388306	4.198928833
1374603155513881			4.175354004	4.201934814
1374603155530506			4.17779541	4.209838867
1374603155547130			4.176055908	4.204483032
1374603155563755			4.181518555	4.201248169
1374603155580505			4.180084229	4.20425415
1374603155597129			4.17515564	4.19241333
1374603155613755			4.159835815	4.180358887
1374603155630378			4.141769409	4.18208313
1374603155647127			4.1197052	4.155456543
1374603155663753			4.105072021	4.149505615
1374603155680381			4.083084106	4.133605957
1374603155696999			4.051315308	4.110229492
1374603155713623			4.027603149	4.097335815
1374603155730373			4.004074097	4.079071045
1374603155746998			3.972961426	4.030349731
1374603155763622			3.9243927	4.007034302
1374603155780246			3.881027222	3.990768433
1374603155796996			3.866928101	3.962188721
1374603155813620			3.845306396	3.935180664
1374603155830245			3.825683594	3.917434692
1374603155846870			3.812271118	3.893737793
1374603155863501			3.789672852	3.881088257
1374603155880241			3.78553772	3.872665405
1374603155896865			3.772857666	3.84815979
1374603155913489			3.754241943	3.837112427
1374603155930116			3.722915649	3.823959351
1374603155946864			3.732696533	3.790985107
1374603155963489			3.714645386	3.795349121
1374603155980113			3.714248657	3.791564941
1374603155996738			3.715881348	3.777435303
1374603156013488			3.691467285	3.793243408
1374603156030112			3.698028564	3.795440674
1374603156046734			3.693435669	3.803512573
1374603156063358			3.703353882	3.803146362
1374603156079984			3.725723267	3.791351318
1374603156096733			3.710281372	3.813522339
1374603156113357			3.714065552	3.818283081
1374603156129982			3.712936401	3.828964233
1374603156146608			3.694274902	3.822265625
1374603156163356			3.72467041	3.810745239
1374603156179980			3.720458984	3.810089111
1374603156196605			3.742965698	3.834213257
1374603156213229			3.731155396	3.823471069
1374603156229976			3.7159729	3.821884155
1374603156246601			3.722061157	3.814697266
1374603156263225			3.741317749	3.824707031
1374603156279850			3.715087891	3.810882568
1374603156296474			3.703842163	3.804916382
