Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	cuetime	correct	choice	iti_mean	iti_range	trialvec
1435667853261438.0	(-17.928102909, 23.2380859514, 598.416788783)	(0.579781994608, 0.402925287649, 0.49472269694)	(-3.28656518113, 155.555577363, 43.0941444148)	(0.490276434375, 0.516201808587)	3.84	0	(39.9406659985, 22.7001104929, 594.689306443)	(0.410390345483, 0.404910721438, 0.482297770182)	(-2.34417717745, 155.928793212, 43.2374050253)	(0.493064564564, 0.514742794324)	3.94	0									
1435667853278064.0	(-17.9300292667, 23.2406176134, 598.383464718)	(0.579789534703, 0.402906689636, 0.494611612956)	(-2.85045442172, 154.350215216, 42.6314606414)	(0.491566702894, 0.520913935824)	3.85	0	(39.9400108901, 22.6985520313, 594.620502188)	(0.410381497789, 0.404906135099, 0.482068277995)	(-6.77850474356, 153.574936283, 42.3338662768)	(0.479945252238, 0.523944736971)	3.95	0									
1435667853294688.0	(-17.9268592408, 23.2386894419, 598.302213376)	(0.57978490697, 0.402901471731, 0.494340616862)	(-5.0144961987, 153.081909358, 42.1446156366)	(0.48516421243, 0.525872129172)	3.86	0	(39.9397258511, 22.6900439222, 594.485638377)	(0.410361178295, 0.404924275781, 0.481618855794)	(-5.07448474088, 150.499418843, 41.1533148405)	(0.484986731536, 0.535967870043)	3.96	0									
1435667853311438.0	(-17.922586133, 23.2266417812, 598.297383658)	(0.579772621785, 0.402960286057, 0.494324544271)	(-3.25253248641, 154.098291025, 42.5347583884)	(0.490377122821, 0.521898784108)	3.84	0	(39.9444943295, 22.6782185416, 594.347530942)	(0.410325500621, 0.404958350151, 0.481158447265)	(-4.73245018672, 152.775814278, 42.0271196402)	(0.485998668086, 0.527068747936)	3.97	0									
1435667853328062.0	(-17.9112884996, 23.2149616085, 598.323876116)	(0.579738059961, 0.403022967639, 0.494412841797)	(-2.72961626183, 156.357894456, 43.4021175005)	(0.491924212243, 0.513065307052)	3.81	0	(39.9470836611, 22.6590540833, 594.148458576)	(0.410286599134, 0.405018042135, 0.480494791667)	(-5.95120629689, 152.479177496, 41.9132542548)	(0.482392880778, 0.528228391335)	3.94	0									
1435667853344685.0	(-17.8979235896, 23.1926236303, 598.252006379)	(0.57970298755, 0.403120598949, 0.494173380534)	(-4.27666547601, 154.601088353, 42.7277594424)	(0.487347143562, 0.519933196431)	3.83	0	(39.9544173359, 22.6393326281, 594.049881162)	(0.410249496266, 0.405098555993, 0.480166219075)	(-3.52462425857, 150.908916315, 41.3105023182)	(0.489572117578, 0.534367019877)	3.92	0									
1435667853361317.0	(-17.8805008118, 23.1466130904, 598.0808703)	(0.579661532284, 0.403317579874, 0.493602905273)	(-3.41866530163, 156.659017422, 43.5177049284)	(0.489885605616, 0.511888125793)	3.79	0	(39.9608320214, 22.6127450119, 594.047275395)	(0.410230058914, 0.405230467989, 0.480157674154)	(-3.92352627093, 149.684314722, 40.8404333955)	(0.48839193411, 0.53915435996)	3.92	0									
1435667853377934.0	(-17.8686105536, 23.0967230001, 597.935387819)	(0.579634718586, 0.403538543065, 0.493117879232)	(-3.72210953314, 154.62549345, 42.7371274504)	(0.488987841618, 0.519837789485)	3.80	0	(39.9705929052, 22.5479431289, 594.015514844)	(0.410195931068, 0.405547447077, 0.480051676432)	(-4.81040158153, 152.440939508, 41.8985764279)	(0.485768042658, 0.528377875263)	3.92	0									
1435667853394682.0	(-17.8517812534, 23.0455713941, 597.806791026)	(0.579592506489, 0.403768911367, 0.492689208984)	(-5.9074558427, 155.413340846, 43.0395462771)	(0.482522319992, 0.516757854394)	3.81	0	(39.9745744171, 22.5081644971, 593.97722828)	(0.410177932359, 0.405738692534, 0.479924112956)	(-2.53560818643, 151.047888461, 41.363847412)	(0.492498200632, 0.533823735492)	3.91	0									
1435667853411307.0	(-17.8503704486, 23.0178896779, 597.839460663)	(0.579586315269, 0.40391206489, 0.492798258463)	(-3.5798617861, 155.866681035, 43.2135629823)	(0.489408692941, 0.514985609713)	3.84	0	(39.9747912851, 22.492398855, 593.963988026)	(0.410175094349, 0.405814840912, 0.479879964193)	(-1.68916264246, 152.581020763, 41.9523472583)	(0.495002477389, 0.527830255033)	3.91	0									
1435667853427929.0	(-17.8383615172, 23.0106381927, 597.737975245)	(0.579556966379, 0.403929718976, 0.492459920247)	(-4.51669578643, 153.998911414, 42.4966110701)	(0.486636994715, 0.522287289234)	3.83	0	(39.9826076722, 22.4882648553, 593.990322902)	(0.410156259734, 0.405840113653, 0.479967651367)	(-4.85733872851, 150.382021808, 41.1082514515)	(0.485629175359, 0.53642681076)	3.96	0									
