Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1461697842839998.0	(0.191404660375, 13.9685665336, 651.289058076)	(0.542333964462, 0.409939921169, 0.670963541667)	(-1.6070669534, 184.841566291, 61.3780633857)	(0.496872193551, 0.446961048415)	3.19	0	(60.1558127552, -1.96573137615, 651.623185044)	(0.347859416488, 0.500131209786, 0.672077229818)	(-9.54499242453, 175.566413349, 57.6176050249)	(0.481422747325, 0.481479667478)	3.30	0						
1461697842848260.0	(0.13944877311, 13.9695963882, 651.255687832)	(0.542502161513, 0.409930603075, 0.670852254232)	(-1.80139647708, 184.923896133, 61.4114426672)	(0.49649397338, 0.446654647813)	3.23	0	(60.1002184222, -1.96090566655, 651.56989673)	(0.348027121753, 0.500105318147, 0.671899617513)	(-6.08362619255, 177.454454389, 58.3830802426)	(0.488159544195, 0.474453091219)	3.31	0						
1461697842856602.0	(0.0912699665098, 13.9653446822, 651.207526189)	(0.542657958091, 0.409949656133, 0.670691731771)	(-3.65424963611, 183.916309651, 61.002933284)	(0.492887797516, 0.450404504461)	3.23	0	(60.0544009666, -1.95507809117, 651.6126186)	(0.348186074081, 0.500072081403, 0.672042032877)	(-8.64364531801, 176.945840077, 58.1768709266)	(0.483177023515, 0.476345961753)	3.32	0						
1461697842864958.0	(0.0296217315633, 13.9600188858, 651.263940366)	(0.542859105617, 0.409987446725, 0.670879720052)	(-2.20264443301, 184.832092739, 61.3742224898)	(0.495713031465, 0.446996305399)	3.23	0	(60.0008640844, -1.94663583807, 651.624387302)	(0.348362642687, 0.50002454086, 0.672081298828)	(-7.71920821218, 176.549476703, 58.0161719093)	(0.484976239369, 0.477821076654)	3.31	0						
1461697842873320.0	(-0.0386452135322, 13.9605398481, 651.237848264)	(0.54308041645, 0.409982075176, 0.67079284668)	(-1.70455815053, 183.427730563, 60.8048469205)	(0.496682448131, 0.452222811451)	3.21	0	(59.9331788753, -1.94127226791, 651.525874669)	(0.348558827889, 0.499996442872, 0.671752929688)	(-7.9470104453, 177.573001494, 58.4311432183)	(0.484532871846, 0.474011903632)	3.32	0						
1461697842881673.0	(-0.0938366469568, 13.9559249922, 651.221433984)	(0.543259491626, 0.410007061364, 0.670738118489)	(-4.91575269355, 187.440478617, 62.4317496855)	(0.490432556065, 0.437288877497)	3.23	0	(59.8769177599, -1.93291507601, 651.599303326)	(0.348758980423, 0.499948468849, 0.671997680664)	(-6.7135236154, 180.018262157, 59.4225339762)	(0.486933585801, 0.464911566218)	3.29	0						
1461697842889945.0	(-0.157310735681, 13.9524499978, 651.256111928)	(0.543466187871, 0.410031705384, 0.670853678385)	(-2.33681530419, 188.609830341, 62.9058441287)	(0.495451897033, 0.432936991659)	3.25	0	(59.824529639, -1.91928834077, 651.549898032)	(0.348917159618, 0.499872312886, 0.671833089193)	(-8.87461699291, 178.871328162, 58.957528433)	(0.482727487363, 0.469180021727)	3.31	0						
1461697842898260.0	(-0.215999582298, 13.952874151, 651.226331622)	(0.543656361485, 0.410026349567, 0.670754394531)	(-1.04803504556, 186.481393843, 62.0429045227)	(0.497960227626, 0.440858229092)	3.25	0	(59.7656323846, -1.91223761783, 651.516079138)	(0.349100286963, 0.499833467443, 0.671720174154)	(-8.95624067057, 177.196883306, 58.2786522792)	(0.482568624619, 0.475411673589)	3.32	0						
1461697842906640.0	(-0.276750005044, 13.9519813949, 651.219691782)	(0.5438535842, 0.41003129371, 0.670732218424)	(-3.15121191261, 186.54730069, 62.0696253711)	(0.493866851085, 0.440612948677)	3.28	0	(59.7042975113, -1.90026712894, 651.545834798)	(0.349306430785, 0.49976565519, 0.671819458008)	(-7.86031771867, 176.944893141, 58.176487007)	(0.484701600392, 0.476349485891)	3.36	0						
1461697842914988.0	(-0.347627125534, 13.9506584689, 651.234436129)	(0.544083996352, 0.410041346811, 0.67078145345)	(-2.41170821897, 186.599798554, 62.0909097671)	(0.495306134256, 0.440417571442)	3.28	0	(59.644108485, -1.88709261768, 651.497355357)	(0.349490211195, 0.499692149057, 0.671657918294)	(-7.23228416062, 172.440062312, 56.350077366)	(0.485923931178, 0.493114766238)	3.38	0						
1461697842923345.0	(-0.399152944386, 13.9500355702, 651.169420967)	(0.5442504753, 0.410037704226, 0.670564778646)	(-3.67279406218, 184.174037572, 61.1074248349)	(0.492851704822, 0.449445338398)	3.27	0	(59.5899730811, -1.87729749218, 651.464026654)	(0.349657991434, 0.499637579398, 0.67154683431)	(-6.97680216442, 175.266256616, 57.4959114094)	(0.486421171342, 0.482596737567)	3.38	0						
